spectroFlux_u,spectroFlux_g,spectroFlux_r,spectroFlux_i,spectroFlux_z,class,subclass
-0.4585601,0.07952845,2.536988,23.30087,61.5993,STAR,M6
-0.5179411,0.2434253,2.873088,27.06122,72.59238,STAR,M6
2.080618,1.413562,7.393687,49.41284,124.015,STAR,M5
1.475209,2.353782,10.28485,61.41548,153.4008,STAR,M6
319.5461,880.5137,1526.387,1884.942,2090.854,STAR,F9
17.7087,51.211,90.36488,110.9336,125.689,STAR,F9
51.22505,124.7636,213.2633,264.046,297.0391,STAR,F9
33.19854,95.43489,159.9731,188.7495,199.9348,STAR,F9
537.9507,1446.759,2491.653,3040.936,3340.892,STAR,F9
154.5794,475.3557,839.5112,994.5312,1049.4,STAR,F9
43.03745,149.7619,280.1508,343.7188,375.0628,STAR,F9
18.53644,52.7557,97.5843,120.4251,134.1885,STAR,F9
22.48277,51.37863,88.63831,110.9848,128.5435,STAR,F9
63.69775,143.4762,232.8761,279.1298,304.0234,STAR,F9
146.5584,437.8339,773.0763,945.8034,1033.446,STAR,F9
58.94163,152.7598,254.9935,305.6226,329.3813,STAR,F9
19.26653,51.03946,86.74288,104.9138,113.8406,STAR,F9
120.0055,342.7896,558.589,653.055,694.8766,STAR,F9
137.9158,478.1679,837.214,1000.1,1078.051,STAR,F9
15.61846,45.11201,79.85875,95.79601,101.9559,STAR,F9
106.7913,393.9435,707.4767,866.0015,945.1807,STAR,F9
124.1211,415.3796,750.7711,906.8937,969.0709,STAR,F9
0.09272617,0.7389511,3.097484,20.83842,56.67037,STAR,M6
0.4377151,4.312995,17.72121,99.0217,245.4086,STAR,M6
0.2801655,0.596593,3.058694,22.62731,62.37122,STAR,M6
0.1578157,0.8202357,4.616933,28.721,72.45404,STAR,M5
8.124109,15.99762,28.17073,35.48845,39.71037,STAR,F9
10.01963,22.86659,37.27289,44.06822,47.89459,STAR,F9
2.781605,6.244802,11.14059,14.02568,15.66665,STAR,F9
9.591137,28.45771,48.93393,58.24929,61.54084,STAR,F9
14.77597,32.88971,55.63329,68.69104,74.68338,STAR,G2
2.176685,6.049459,10.42297,12.74451,13.51417,STAR,G2
3.218837,8.36455,14.32779,17.09016,17.09562,STAR,F9
2.871928,12.27169,22.67301,28.086,30.51524,STAR,K1
4.52531,12.7018,21.10009,25.05085,26.14152,STAR,F9
1.863262,4.499265,8.089515,10.31577,11.13645,STAR,F2
2.172061,4.970319,9.29409,12.11239,14.32811,STAR,F9
4.501966,10.867,18.53531,22.37328,24.13216,STAR,F9
3.665138,8.45168,15.49188,19.60907,21.86786,STAR,F9
3.982331,8.513069,15.43041,19.02562,20.58183,STAR,G2
2.02711,6.915733,12.35524,14.09364,14.16968,STAR,F9
12.95236,30.69094,49.65081,58.73003,60.8194,STAR,F9
5.569654,16.11728,29.32114,37.44597,39.06662,STAR,F9
3.819531,7.911525,14.78762,17.9185,18.49446,STAR,K1
4.228795,11.01484,18.49377,22.62559,24.245,STAR,F9
4.778757,9.695767,16.94787,21.70353,23.3629,STAR,F9
3.326349,7.698107,13.36535,16.30805,17.25868,STAR,F9
2.120094,3.895701,7.081263,9.121855,9.777426,STAR,F9
1.33246,3.299631,6.546471,8.330536,8.855337,STAR,K1
9.008146,24.20404,39.54159,46.26335,49.70492,STAR,F9
78.73739,396.7242,768.8295,951.8563,1051.654,STAR,K1
34.49866,110.5714,190.6033,229.5413,248.1139,STAR,F9
14.43776,48.92371,87.26778,106.2601,118.4413,STAR,F9
14.60876,53.81919,98.04704,117.9493,129.1351,STAR,F9
30.64349,82.96786,140.8627,165.7346,181.641,STAR,F9
72.15263,213.1278,375.4106,452.5356,498.8206,STAR,F9
30.96454,96.15974,176.5097,210.6042,230.7195,STAR,F9
419.313,1003.213,1661.776,1949.733,2114.662,STAR,F9
20.12607,56.85793,99.86643,120.5971,131.892,STAR,F9
25.35186,66.45259,115.551,141.0136,156.8613,STAR,F9
54.46883,139.8889,229.9607,268.0161,287.6863,STAR,F9
18.37017,57.78316,103.5287,124.9542,134.8923,STAR,F9
16.3209,52.71426,91.28905,110.8797,119.3417,STAR,F9
19.81198,51.56179,89.6413,109.6209,118.9488,STAR,F9
45.14643,97.3299,159.4059,190.9149,207.5201,STAR,F9
12.03336,43.18652,76.14208,90.97617,97.75368,STAR,F9
5.928835,12.08131,20.11097,24.42156,26.53137,STAR,F9
6.092616,12.88166,21.0235,25.173,27.13233,STAR,F9
3.11804,6.217179,10.57447,13.2533,15.08441,STAR,F9
4.667302,10.82496,17.62664,21.66942,23.85139,STAR,F9
3.655723,11.27926,19.76388,24.38237,27.28738,STAR,F9
3.566726,7.888747,13.22971,16.19984,17.74319,STAR,F9
9.280487,28.72607,50.40342,60.70269,65.46982,STAR,F9
9.523365,26.50306,45.02744,53.31274,57.86266,STAR,F9
13.84139,35.6118,59.25903,70.64597,75.89978,STAR,F9
15.53089,41.63122,68.11725,80.1416,85.37737,STAR,F9
12.82975,37.20748,62.3961,73.35104,77.79319,STAR,F9
11.77961,25.16922,39.48829,46.3933,48.90115,STAR,F9
2.601766,4.99623,7.365673,8.327548,8.638046,STAR,F9
9.069519,22.83052,37.2615,43.94297,46.89301,STAR,F9
2.680824,6.051739,9.759706,11.48446,11.59861,STAR,F9
3.749056,9.591502,15.80553,18.70428,19.66154,STAR,F9
79.72559,226.0644,388.139,464.3191,500.3833,STAR,F9
17.98985,44.71693,79.6866,96.34238,101.5094,STAR,F9
88.02331,245.4465,430.4274,522.7032,570.5579,STAR,F9
27.30637,93.29161,169.9874,210.6392,234.4352,STAR,F9
56.63047,210.3631,383.5521,466.4815,506.5081,STAR,F9
107.1445,310.8425,528.9995,621.5656,662.5722,STAR,F9
58.78134,232.9052,428.5829,516.8223,568.5369,STAR,K1
21.13621,76.05927,149.4128,187.1331,208.3392,STAR,K1
33.36625,107.997,193.3753,233.0321,254.0592,STAR,F9
71.33543,223.1867,396.194,480.4192,522.1202,STAR,F9
25.68385,81.00415,143.3401,171.2486,184.9315,STAR,F9
53.54485,171.4514,306.8716,369.9698,399.5985,STAR,F9
230.1149,630.7234,1058.373,1250.845,1335.315,STAR,F9
99.25311,320.1558,574.6708,701.6059,770.3688,STAR,F9
113.4191,360.9617,623.1313,745.6734,813.4119,STAR,F9
24.63486,76.27892,137.635,171.0356,189.7856,STAR,F9
68.36453,243.702,442.6539,535.4703,585.6091,STAR,K1
150.9335,498.0141,872.1143,1034.835,1117.076,STAR,F9
26.0828,79.64518,143.1175,174.5527,192.4036,STAR,F9
17.89079,65.00639,122.1332,147.9963,161.2681,STAR,K1
79.59617,299.6926,520.8358,602.7024,622.9193,STAR,K1
591.0828,721.7113,1015.761,1102.406,1093.087,STAR,F9
53.82944,120.7703,179.1303,196.5381,195.1,STAR,F9
78.31951,198.1722,300.601,328.5974,326.1784,STAR,F9
20.17229,58.54448,92.92532,104.6963,104.58,STAR,F9
268.6279,699.7554,1101.28,1261.632,1305.482,STAR,F9
156.4057,647.6201,1202.688,1448.297,1563.939,STAR,K1
19.29343,54.01384,89.22971,104.226,107.7737,STAR,F9
247.3382,774.5638,1247.783,1390.711,1411.207,STAR,F9
97.27871,280.2253,439.1522,492.3536,500.8005,STAR,F9
27.60207,77.06036,125.9614,148.7062,155.5382,STAR,F9
91.27473,322.6323,563.2308,660.1267,691.4167,STAR,F9
137.7578,334.2118,532.0374,624.167,655.105,STAR,F9
114.2767,376.4683,663.7037,790.818,837.8516,STAR,F9
104.7994,308.0778,530.0792,638.0732,685.8849,STAR,F9
58.62824,152.1454,262.5646,318.0109,342.6978,STAR,F9
52.84171,141.4248,234.8881,277.103,292.4548,STAR,F9
68.41321,160.1616,241.0855,262.0992,256.8542,STAR,F9
54.2127,194.3968,323.4113,366.0042,370.3559,STAR,F9
369.8479,1022.823,1646.61,1869.956,1910.212,STAR,F9
98.94006,319.8042,533.3475,615.2456,633.8268,STAR,F9
259.9472,747.4849,1208.566,1388.099,1431.666,STAR,F9
45.94286,148.0073,254.6716,306.7725,324.3591,STAR,F9
372.2988,1017.533,1559.419,1717.457,1706.706,STAR,F9
-0.01566606,0.3265412,1.46217,13.45672,42.94922,STAR,M7
0.001363328,0.3919137,2.048562,16.37962,45.62251,STAR,M6
0.4012624,0.9379176,5.095065,30.85051,76.32127,STAR,M6
0.3146231,0.5245568,3.082885,20.19261,49.90317,STAR,M5
-0.0147942,1.226677,6.405365,48.19327,129.8659,STAR,M6
0.1654154,0.894679,3.390619,22.06913,52.30037,STAR,M5
1.965233,7.689095,14.32186,18.00851,20.68937,STAR,K1
10.77031,37.04647,67.26645,83.83974,92.96102,STAR,F9
4.17784,16.09785,29.93454,35.89336,37.34444,STAR,F9
4.661682,8.106814,12.96129,14.90536,14.19398,STAR,F5
1.337606,3.706507,6.588173,7.356011,6.879035,STAR,F9
5.077887,11.64779,19.95372,24.23345,25.75993,STAR,F9
10.45782,33.32231,58.10719,70.56626,77.14644,STAR,F9
1.032932,3.853917,7.840095,9.713004,11.19598,STAR,K3
5.174619,11.7402,20.42334,25.25828,28.9935,STAR,F9
1.210789,4.231819,8.310767,10.50553,11.70573,STAR,F9
8.113525,24.24544,42.56604,51.87912,57.62145,STAR,F9
1.471765,0.5996155,4.255063,27.86101,66.21167,STAR,M6
-0.3712176,0.6809688,5.411357,38.80952,103.8352,STAR,M5
-0.2170443,0.4119133,4.016526,28.22561,73.15697,STAR,M6
-0.2491636,1.79669,10.26504,66.77687,170.7934,STAR,M6
0.0709321,0.8227189,4.639916,31.40318,78.87168,STAR,M6
0.02867159,0.4220592,3.75039,26.12509,68.67657,STAR,M6
1.113993,3.82093,15.95887,103.1594,271.295,STAR,M6
0.2008604,0.1529249,2.38551,18.08412,57.39387,STAR,M7
