class,subclass,mag_u,mag_g,mag_r,mag_i,mag_z,redshift,flux_u,flux_g,flux_r,flux_i,flux_z,photRA,specRA,photDec,specDec,petrosianRadius_u,deVEffectiveRadius_u,petrosianRadius_z,deVEffectiveRadius_z
GALAXY,STARFORMING,18.6606,17.16853,16.44566,16.07653,15.87261,0.07591709,7.016037,18.04878,39.5108,57.65116,69.54057,166.5688944,166.5689,5.759391715,5.7593906,11.09043,16.22161,7.265034,6.865528
GALAXY,STARFORMING,19.91674,18.50518,17.75587,17.32278,17.06154,0.08252548,8.343483,23.15535,48.68929,71.78011,85.98832,166.6771134,166.67711,5.691271297,5.6912583,4.268589,2.15768,3.080989,2.124822
QSO,BROADLINE,19.65445,19.49306,19.30018,19.01031,18.92969,1.799684,13.91381,16.55824,19.17097,24.67914,23.84556,166.7896104,166.78962,5.795762888,5.7957702,1.634038,0.1842897,1.507393,0.03681304
GALAXY,STARBURST,20.21829,19.47158,18.80921,18.5219,18.21989,0.2641701,9.462975,12.08504,23.11608,30.33168,39.97786,167.0311483,167.03115,5.704324597,5.7043211,2.626751,1.183938,1.965599,0.5770473
QSO,BROADLINE,19.99131,19.82148,19.65441,19.57349,19.51579,1.083523,11.95118,10.74239,12.66407,13.90986,13.04475,153.9402101,153.94022,3.763068117,3.7630673,4.741034,0.1241819,1.676162,0.3640679
GALAXY,STARFORMING,18.47596,16.94688,16.23319,15.84167,15.53126,0.05228724,17.42334,43.74805,90.46116,134.7601,172.6941,154.2001672,154.20017,3.78144665,3.7814483,4.879889,6.195977,4.793545,3.143662
GALAXY,BROADLINE,18.33504,16.31101,15.41186,14.98208,14.64383,0.04634382,30.82072,99.03313,246.0138,375.0683,506.9175,154.2020086,154.20201,3.82481637,3.8248086,4.901484,4.645284,5.457872,2.937642
GALAXY,STARFORMING,18.0115,16.332,15.54245,15.10106,14.76084,0.04600689,11.33612,29.37051,68.04209,107.101,144.054,154.2291518,154.22916,3.821662207,3.821651,13.88477,29.67,12.03309,19.1644
GALAXY,STARBURST,18.04327,17.17266,16.79019,16.61104,16.49086,0.004030576,7.110187,10.24099,13.57442,15.7549,17.62146,154.2458609,154.24584,3.709784531,3.7097957,14.00264,23.82732,14.81411,29.04087
GALAXY,STARFORMING,19.84217,18.5189,17.6884,17.28006,17.03542,0.1610942,4.032704,8.193206,20.48024,31.36517,39.63078,153.9314827,153.93149,4.084615782,4.0846182,18.01884,24.58301,5.383993,6.301785
GALAXY,AGN,19.17818,17.76178,16.99542,16.54754,16.27382,0.1020694,11.78351,28.15229,61.25418,96.53669,120.7129,166.3374219,166.33743,5.009644734,5.0096399,5.51928,6.331345,4.296688,2.281095
GALAXY,STARFORMING,18.87127,17.49145,16.87464,16.47966,16.24422,0.06754266,7.784596,18.52073,38.37425,57.05991,71.42255,166.4199756,166.41998,4.997401192,4.9974131,8.385287,23.49534,6.262384,9.618038
GALAXY,STARFORMING,18.14386,16.80748,16.16264,15.782,15.48374,0.0519894,12.01219,26.36795,54.74782,80.60555,101.9678,166.4183653,166.41837,5.122662365,5.1226742,6.90906,16.18191,7.086165,10.39955
QSO,BROADLINE,17.15857,16.82813,16.71338,16.79831,16.67155,0.9158244,178.2946,197.7545,211.7644,194.1353,222.6131,166.4911361,166.49115,4.957872778,4.9578956,1.645272,0.06753033,1.222171,0.05869277
GALAXY,STARFORMING,18.83556,17.51423,16.73844,16.29216,16.01279,0.1198195,13.28528,36.22734,76.46961,113.736,142.233,165.6678878,165.6679,5.404318554,5.4043243,4.920691,4.034851,5.113146,3.640682
QSO,BROADLINE,24.54404,22.53204,21.54064,21.74897,21.78402,3.780828,0.1477357,0.7354408,2.536979,2.361279,2.328981,252.1550938,252.15509,39.310133,39.310133,4.584347,5.142118,1.003859,0.1221315
QSO,BROADLINE,21.31648,21.30282,21.02023,21.10559,21.07087,1.927798,2.773992,2.275093,2.365497,2.896811,2.966864,252.2792503,252.27925,38.91447801,38.914478,4.271144,0.5242116,2.098756,5.115952
QSO,BROADLINE,21.21311,20.79655,20.66082,20.5369,20.0035,2.011452,6.385523,4.510626,4.717945,5.327361,6.866976,252.3291778,252.32918,38.84989309,38.849893,1.116296,0.004506698,3.35179,0.2897262
QSO,BROADLINE,21.30625,21.22623,21.09375,20.83582,20.8315,1.510792,4.841386,4.031929,4.290851,5.306108,5.524756,253.1939177,253.19392,38.13980451,38.139805,7.35814,0.6126595,2.336664,1.560684
GALAXY,STARFORMING,23.4158,22.25744,21.89729,21.27185,20.96744,0.1489343,1.179578,2.038676,3.273511,4.36822,4.571507,253.2783123,253.27831,38.04717205,38.047172,0.708004,0.03077063,1.44347,0.01864072
QSO,BROADLINE,21.26613,20.68322,20.27788,20.05091,19.89416,2.157507,4.816969,5.567284,7.576384,9.105703,12.48313,253.0421698,253.04217,36.74685809,36.746858,11.30577,0.6132504,3.960018,0.1125988
GALAXY,STARFORMING,21.8902,21.68849,20.71932,20.37004,20.11067,0.4338578,4.076115,2.72766,5.508358,6.096653,10.17339,251.7476931,251.74769,38.93836054,38.938361,1.999081,0.00110111,1.603682,0.3654273
QSO,BROADLINE,21.10669,20.95248,21.06291,20.9979,20.55715,2.031338,6.935423,4.686898,5.10426,5.82251,6.983888,251.7104575,251.71046,38.87267122,38.872671,1.651679,0.03350694,1.965642,0.5099127
QSO,BROADLINE,22.18889,21.81965,21.72137,21.63585,21.74931,1.621666,0.655212,0.6337585,0.6681687,1.076,1.138353,251.9828534,251.98285,38.71466904,38.714669,1.595511,0.5313235,1.060813,0.2991401
QSO,BROADLINE,22.658,22.24429,21.78138,21.58881,21.55386,1.443747,5.72973,3.670994,4.083502,4.440927,4.68968,252.0499029,252.0499,38.55416208,38.554162,2.715611,4.397182,2.26801,0.000932315
QSO,BROADLINE,22.41484,21.95723,21.68624,21.50041,21.78257,1.448759,4.444596,2.622486,3.074044,3.655204,3.800087,253.0731813,253.07318,37.29568076,37.295681,0.9228719,0.08657911,1.768312,0.002039355
QSO,BROADLINE,21.02081,21.00855,20.8367,20.66947,20.45333,0.9347516,4.572988,3.920422,5.124209,6.326537,9.29601,252.9956035,252.9956,37.24724694,37.247247,1.413465,0.1366886,1.492134,0.1221133
QSO,BROADLINE,20.92817,20.51064,20.1112,19.76007,19.63485,0.5103203,4.131854,5.642689,8.511997,12.30427,14.79288,253.2637125,253.26371,37.01993557,37.019936,1.55755,0.2423788,3.758873,0.1265755
QSO,BROADLINE,21.63786,21.51515,21.43547,21.28205,21.05204,1.948354,2.203117,2.311365,2.730424,3.665173,4.618628,253.347211,253.34721,36.83553042,36.83553,11.3056,0.575973,1.826529,0.5222434
QSO,BROADLINE,21.33633,21.20595,21.26933,21.09462,20.93886,1.865278,2.22766,2.368045,2.643399,3.158649,3.861368,251.9081137,251.90811,38.46523266,38.465233,7.358522,0.2004004,1.878225,0.3125234
QSO,BROADLINE,20.38654,20.43816,20.51564,20.23,20.27951,1.813019,3.962342,4.576719,4.313605,5.61365,5.605338,251.9428176,251.94282,38.32729633,38.327296,1.968701,0.3802587,1.345034,0.2655867
GALAXY,STARFORMING,24.11082,22.24607,21.49069,21.53283,21.56038,0.1778248,0.6685899,1.908696,3.119503,4.119786,5.606411,253.1823718,253.18237,36.93208685,36.932087,0.745343,0.002595496,0.9678055,0.2671218
QSO,BROADLINE,21.4708,21.40811,21.35431,21.20836,20.76903,2.084607,2.340449,1.881602,2.144109,2.643281,3.940975,253.2648753,253.26488,36.88392341,36.883923,1.505893,0.3023172,2.506709,0.9393373
GALAXY,STARBURST,21.72221,21.49668,21.50008,21.90837,22.6223,0.0711709,6.477742,9.529531,10.25073,12.31056,13.10399,253.2785035,253.2785,36.67916598,36.679166,1.359055,0.2361002,2.969766,0.4648237
QSO,BROADLINE,19.99998,19.72106,19.67192,19.33227,19.03818,0.4502008,11.82994,13.85521,14.94629,19.93039,26.73372,253.408644,253.40864,36.698513,36.698519,1.571436,0.136931,1.558911,0.3362803
QSO,BROADLINE,22.26076,22.33004,21.91983,21.71972,21.0133,1.458631,2.169543,1.363756,1.598739,1.808242,1.843294,251.9391415,251.93914,39.05340995,39.05341,3.034651,0.2170473,1.014574,0.2535432
QSO,BROADLINE,19.99249,19.86603,19.57688,19.59934,19.51718,0.9876528,7.692894,6.873737,9.452962,9.261199,10.08686,253.2027293,253.20273,37.63258067,37.632581,1.399633,0.06764624,2.293544,0.2113339
QSO,BROADLINE,18.4608,18.09498,17.97874,17.94224,17.87176,0.7352968,19.18288,23.20203,26.13803,29.13116,34.82159,253.2930826,253.2931,37.47584808,37.475852,13.56412,0.07028621,1.14041,0.06880109
QSO,BROADLINE,21.42536,21.08163,21.16929,20.88003,20.92979,1.863621,2.993696,3.980676,3.899932,5.37672,6.011712,253.1939118,253.19391,37.37876126,37.378761,1.835747,0.153763,0.9084301,0.158187
GALAXY,STARBURST,22.54745,22.07078,21.7297,21.67246,21.37536,0.1729919,0.5835036,1.388021,2.396945,2.417061,2.33918,252.229592,252.22959,39.31648084,39.316481,0.8527554,0.07904458,1.012177,0.2028857
QSO,BROADLINE,23.12102,21.74911,21.62011,21.73383,21.73705,2.826284,1.249884,2.03453,2.410526,2.150555,2.130404,253.3250192,253.32502,38.0002449,38.000247,1.472551,1.002446,0.9636655,0.4898738
GALAXY,STARBURST,21.59028,21.30734,21.47841,21.45117,22.43681,0.09999796,5.283658,6.851104,7.150884,8.628242,8.429565,253.4996198,253.49962,37.89615853,37.896159,1.147319,0.1221391,0.8676559,0.4046219
GALAXY,STARFORMING,19.81847,18.74076,18.14932,17.79595,17.67422,0.1328524,6.333157,12.54219,21.70675,29.94695,34.65199,12.65149615,12.651505,0.324761275,0.324749,3.662888,10.97783,3.674912,5.11679
