u,g,r,i,z,class,subclass
20.38289,19.95935,20.21407,20.48887,20.63884,STAR,WD
19.07765,19.28627,19.66943,19.93953,20.14517,STAR,OB
16.83888,16.10453,16.35166,16.56507,16.71042,STAR,A0p
19.94082,19.49615,19.78449,20.05,20.23063,STAR,WD
18.0745,17.93864,18.29241,18.59893,18.88843,STAR,WD
18.71419,18.61885,18.95154,19.28806,19.55802,STAR,WD
19.64249,19.42714,19.70842,20.00749,20.07113,STAR,WD
19.90275,19.41663,19.60359,19.7062,20.01764,STAR,WD
19.48861,19.30766,19.35437,19.51449,19.3888,STAR,WD
20.04341,20.16863,20.44198,20.70386,20.88969,STAR,OB
19.41092,19.43015,19.87573,20.15427,20.53106,STAR,WD
18.37021,18.41584,18.71495,18.97119,19.14477,STAR,OB
20.0399,19.77778,20.13855,20.41271,20.46395,STAR,WD
17.78079,17.76642,18.03278,18.26215,18.50078,STAR,OB
20.70496,20.42179,20.68229,20.85331,21.32626,STAR,WD
17.16887,17.46015,17.97663,18.34601,18.66935,STAR,B9
19.5504,19.40191,19.687,19.94354,20.17812,STAR,WD
15.34959,15.72058,16.23478,16.60212,16.93749,STAR,O
19.20609,19.27556,19.58817,19.86974,20.17053,STAR,OB
19.60002,19.35214,19.61245,19.83649,20.11324,STAR,WD
19.199,18.74377,18.87672,19.06411,19.34421,STAR,WD
18.3164,18.62625,19.11096,19.44076,19.97199,STAR,B9
19.00938,19.28872,19.78444,20.09752,20.44485,STAR,WD
19.13678,16.67797,15.64433,15.2858,15.09139,STAR,K5
20.67263,19.59864,19.0013,18.75948,18.80196,STAR,F2
19.76456,19.43014,19.5213,19.71713,19.8727,STAR,WD
19.26585,19.36049,19.82064,20.1825,20.31159,STAR,WD
19.22653,19.26187,19.66475,19.8895,20.14677,STAR,WD
19.62107,19.47566,19.78407,20.08125,20.40017,STAR,WD
19.83249,19.34209,19.53061,19.68052,20.0714,STAR,WD
20.79294,19.79519,19.52246,19.36119,19.51043,STAR,F5
18.24976,17.7221,18.06105,18.307,18.4691,STAR,A0p
19.78425,19.46393,19.74128,20.06335,20.18113,STAR,WD
17.40574,17.26279,17.58927,17.89455,18.20096,STAR,WD
19.57132,19.69373,20.02459,20.20457,20.58422,STAR,OB
19.44054,19.55945,19.97625,20.24401,20.91942,STAR,OB
19.74862,19.46301,19.72889,19.8983,20.33513,STAR,WD
19.39758,19.0262,19.28615,19.56025,19.72017,STAR,WD
20.36512,20.30267,20.65822,20.91808,22.01297,STAR,WD
19.95068,19.88218,20.30489,20.70281,20.69189,STAR,WD
19.91993,19.85278,20.17802,20.36323,20.63939,STAR,WD
19.71932,19.21828,19.10459,19.07465,19.09223,STAR,B6
17.63321,17.70457,18.08863,18.42858,18.74695,STAR,WD
18.82002,19.00034,19.45192,19.7727,20.10909,STAR,WD
19.29041,18.88654,19.11498,19.17089,18.95796,STAR,WD
19.7757,19.4122,19.59514,19.86466,20.09387,STAR,WD
17.745,17.43449,17.8035,18.07513,18.31613,STAR,A0p
19.66613,19.04851,18.84492,18.77316,18.80267,STAR,CV
18.55616,18.51263,18.84986,19.07855,19.29823,STAR,WD
16.09146,16.24384,16.65202,16.92501,17.20898,STAR,OB
20.28054,20.19148,20.62152,20.87072,20.97612,STAR,WD
19.69985,19.47583,19.71969,19.91905,20.04857,STAR,WD
19.96003,19.64973,19.9198,20.12042,20.50361,STAR,WD
22.26933,20.21771,19.56209,19.30711,19.17019,STAR,K1
19.75252,19.369,19.64949,19.90088,20.34716,STAR,WD
19.07955,18.6286,18.51569,18.50476,18.58367,STAR,CV
18.63195,18.86859,19.37391,19.65905,20.0677,STAR,WD
19.98366,19.88271,20.08751,20.24544,20.1335,STAR,OB
19.35533,18.92632,19.08129,19.25298,19.50123,STAR,WD
18.21329,17.98787,18.26951,18.54269,18.78913,STAR,WD
20.7628,20.46754,20.63101,20.78112,20.81637,STAR,WD
19.77477,19.48206,19.74304,20.05457,20.17584,STAR,WD
19.76677,19.21135,19.18028,19.28758,19.49218,STAR,B6
17.4874,17.59525,17.9547,18.24336,18.57934,STAR,WD
18.67418,18.50646,18.74492,18.94462,19.17376,STAR,WD
20.23229,20.04099,20.29105,20.39224,20.4618,STAR,WD
20.176,19.74519,19.93361,20.16896,20.85373,STAR,WD
19.16249,19.14846,19.52278,19.82574,20.21291,STAR,WD
18.77456,18.97274,19.34626,19.70527,19.95005,STAR,WD
18.97773,19.0206,19.40918,19.65395,20.33745,STAR,WD
18.47515,18.59129,18.87699,19.11758,19.33041,STAR,OB
19.44434,19.28919,19.59806,19.9113,20.23995,STAR,WD
19.24175,18.76095,18.98169,19.20291,19.34129,STAR,WD
19.60371,19.29698,19.70628,19.97982,20.21087,STAR,A0p
16.72051,17.02372,17.5407,17.84108,18.14656,STAR,B9
21.97402,19.56714,18.12271,17.57431,17.24847,STAR,K7
18.82521,18.43377,18.38241,18.36999,18.49317,STAR,CV
20.36733,19.3896,19.18177,19.11505,19.10043,STAR,A0
16.08442,16.2573,16.72705,17.07793,17.37318,STAR,B9
17.18851,17.39496,17.84303,18.18382,18.46315,STAR,O
14.77617,15.05634,15.54104,15.86723,16.14143,STAR,A0
16.76204,16.5364,16.86342,17.14243,17.42436,STAR,WD
18.83537,18.93922,19.27594,19.23075,18.79995,STAR,WD
20.69295,19.31964,19.27788,19.33507,22.82755,STAR,A0
16.36583,15.77482,15.99322,17.07541,16.29153,STAR,A0
17.32896,17.61314,18.07611,18.38552,18.66497,STAR,WD
20.12087,20.09412,20.39685,20.59227,20.77488,STAR,OB
16.95586,17.1809,17.69117,18.01367,18.3112,STAR,B6
18.56425,18.61558,19.04638,19.37088,19.81052,STAR,WD
20.46073,20.39275,20.71228,20.91129,21.38382,STAR,WD
20.38569,19.90346,20.0905,20.28895,20.5035,STAR,WD
17.45349,17.89215,18.38999,18.79149,19.25359,STAR,O
20.28313,19.94653,20.18987,20.38086,20.68083,STAR,WD
21.11207,19.36587,18.79678,18.57901,18.42035,STAR,F9
19.75991,19.92159,20.33384,20.69853,20.86958,STAR,WD
19.39847,19.001,18.76437,18.73031,18.74825,STAR,CarbonWD
18.6473,18.12277,18.32279,18.44499,18.61391,STAR,WD
19.64262,19.48998,19.79243,19.98863,20.12319,STAR,WD
19.24199,18.87898,18.73312,18.74129,18.82843,STAR,CV
19.80582,19.29173,19.07696,19.03259,19.08291,STAR,CV
15.68247,16.05982,16.59349,16.97139,17.29435,STAR,B9
19.56595,19.14526,19.28901,19.46871,19.67037,STAR,WD
20.2309,19.53041,19.25606,19.11985,19.17674,STAR,CV
18.49264,17.39976,16.97553,16.85333,16.80761,STAR,G2
19.74726,19.8803,20.10341,20.41106,20.60706,STAR,OB
18.11712,18.53814,19.06441,19.43466,19.85257,STAR,O
19.39703,19.31313,19.69175,20.01733,20.10715,STAR,WD
19.5505,19.17676,19.30794,19.50282,19.63634,STAR,WD
19.54425,19.32766,19.65814,19.88029,20.13752,STAR,WD
21.23331,20.62032,20.80036,20.88751,21.01901,STAR,WD
19.55307,19.41928,19.58364,19.79422,20.01222,STAR,WD
19.97844,20.04924,20.21183,20.46351,20.41456,STAR,T2
20.00618,20.28332,20.85509,21.07501,21.7794,STAR,L5.5
19.25049,19.59266,20.10745,20.50657,20.5873,STAR,WD
15.88071,16.28024,16.80684,17.15236,17.51207,STAR,O
17.93142,17.52693,17.70466,17.87341,18.08756,STAR,WD
16.31396,16.52492,16.9662,17.28269,17.61821,STAR,B6
17.73402,17.59931,17.67377,17.72551,17.71976,STAR,A0
20.36937,20.12452,20.34367,20.53838,20.56578,STAR,WD
19.60398,19.68344,19.85887,20.09647,20.25222,STAR,B6
18.7085,18.54992,18.85296,19.0925,19.24885,STAR,WD
19.5019,19.25799,19.57236,19.8191,20.06964,STAR,WD
18.24868,17.8318,18.08548,18.31599,18.58724,STAR,WD
20.79597,19.43257,18.7913,18.64495,18.5339,STAR,F9
20.00418,20.13555,20.67544,21.04124,22.25274,STAR,WD
19.4992,19.66117,19.92159,19.71537,19.30807,STAR,WD
19.4384,19.22877,19.43633,19.61976,19.71101,STAR,WD
19.06318,19.07021,19.4809,19.77535,20.2487,STAR,WD
19.59774,19.73075,20.15992,20.6687,21.00285,STAR,WD
20.32498,20.23363,20.46225,20.58329,20.71422,STAR,WD
15.98766,16.38246,16.8972,17.26818,17.62157,STAR,B9
19.27677,18.72021,19.02317,19.18989,19.56381,STAR,A0
17.9665,18.32026,18.8322,19.15901,19.4908,STAR,B9
19.48806,19.15398,19.39653,19.66466,20.0453,STAR,WD
20.3006,20.31872,20.77591,21.1738,21.49027,STAR,WD
19.83913,19.6035,19.85426,20.12724,19.90098,STAR,A0p
20.29753,19.98062,20.24166,20.45831,20.4436,STAR,WD
16.67867,16.11283,16.40615,16.65153,16.7801,STAR,A0p
20.09879,20.05548,20.3266,20.61675,20.75977,STAR,WD
