spectroFlux_u,spectroFlux_g,spectroFlux_r,spectroFlux_i,spectroFlux_z,class,subclass
8.961685,11.02864,9.618832,8.5516,7.720404,STAR,WD
13.11034,12.4987,9.308475,6.842488,4.6896,STAR,OB
46.09635,56.55875,47.52997,40.20344,33.59163,STAR,WD
6.887869,8.07578,6.188989,4.839737,3.548131,STAR,WD
28.76336,27.85982,21.45721,16.07275,11.80306,STAR,OB
9.423716,9.596745,6.569357,4.26692,2.593108,STAR,WD
17.50905,11.76837,7.968294,6.483024,6.077643,STAR,T2
27.06052,25.85755,22.88974,20.23125,17.53758,STAR,OB
5.960544,8.860721,9.050909,8.18669,7.018715,STAR,WD
4.024989,5.28492,4.914074,3.572643,3.174183,STAR,WD
35.07215,29.5923,22.22648,20.61773,19.93713,STAR,WD
14.63726,21.03358,18.39035,15.65947,14.59202,STAR,WD
21.91728,19.0171,14.37804,12.41659,14.05013,STAR,WD
13.65541,13.94297,11.9588,10.28035,8.761984,STAR,WD
22.00111,74.31131,240.4159,425.8758,575.6468,STAR,M0
61.40672,50.65102,33.21189,25.67398,23.04867,STAR,A0p
19.28905,22.23442,17.35772,14.00335,14.3148,STAR,WD
24.54773,20.62114,13.38808,9.546059,6.080709,STAR,WD
56.25563,54.43264,43.97921,51.90466,66.42472,STAR,M3
20.79071,17.83604,11.84782,8.476313,6.231393,STAR,A0p
140.0511,111.2122,77.67283,60.58138,49.23918,STAR,OB
54.15186,46.83151,34.68531,28.1041,21.80737,STAR,A0p
40.68887,46.75338,55.36649,57.36617,52.97649,STAR,CV
55.75073,51.12149,40.50506,32.97504,26.2651,STAR,OB
9.300962,8.751008,6.798563,5.549564,5.457728,STAR,WD
16.68597,16.91395,12.8744,10.29241,9.782585,STAR,WD
13.95704,13.57401,9.711088,7.27363,6.326942,STAR,WD
8.800171,10.72919,8.874508,6.873842,6.904487,STAR,WD
15.69749,20.21238,17.5108,14.86679,15.04871,STAR,WD
55.79461,140.0924,233.5288,281.464,304.8303,STAR,F9
308.711,613.7708,949.0151,1115.343,1191.523,STAR,G2
5.018335,16.45724,32.00345,42.86267,49.93261,STAR,K3
18.96458,64.33536,118.6634,148.4485,163.2496,STAR,K1
43.83997,74.23942,109.4554,127.8064,135.6171,STAR,F2
2.55185,8.308322,16.1349,21.0984,23.09837,STAR,K1
16.53529,18.24101,13.62411,10.24897,8.239652,STAR,WD
15.15159,17.16543,12.73191,9.784475,7.369182,STAR,WD
22.35184,30.12612,27.79704,25.18079,19.66777,STAR,WD
810.0327,643.8118,413.6215,304.132,240.7947,STAR,B9
203.5782,179.8349,125.3781,94.54312,74.76431,STAR,OB
9.205539,13.61277,12.79298,11.65112,11.95149,STAR,WD
9.77163,11.72882,9.341792,7.048405,6.466443,STAR,WD
45.86366,50.63078,37.53458,29.66023,25.74579,STAR,WD
17.87106,17.70894,12.70911,9.777039,8.894443,STAR,WD
11.72024,11.28681,8.797869,7.473637,5.730544,STAR,WD
13.49673,14.08479,10.836,8.843997,7.862427,STAR,WD
16.40205,12.60889,9.464159,8.695741,9.26631,STAR,M4
6.959993,11.01545,10.60206,9.515924,9.087605,STAR,WD
6.373084,7.730293,7.047509,6.357763,6.269155,STAR,WD
20.38085,28.95866,27.33638,23.29775,20.36813,STAR,WD
4.235677,6.368891,8.524294,9.73497,12.39606,STAR,B9
7.190276,19.18731,29.70461,34.33303,37.12865,STAR,G2
23.46954,35.32634,47.43095,51.99516,51.80447,STAR,CV
25.69773,22.50743,16.64979,13.13179,12.92694,STAR,OB
